id,Title,Content,Permalink,Post Type
22,Bot traffic,"
What's a Bot?



In terms of affiliate marketing, a bot is an automatic user (not a real visitor) that generates traffic. There are 2 types of bots:




good bots (like those from Google or Facebook) which simply check your campaign whether it is up to the rules or not. For good bots RedTrack has soft filters, i.e. those bots are still able to go through your campaign but you do not see them in your statistics.



bad bots which can cause a lot of problems for affiliates as this traffic never converts but spends your traffic source and tracker budget. For bad bots RedTrack introduced a bot blacklist feature.




Good bots



Not always ""Bot"" means bad clicks. There are a lot of good and friendly bots who simply check your campaigns to make sure they are safe for real visitors.&nbsp;Still, they generate automated clicks that may screw up your reports.



With RedTrack there is a good solution: you can simply filter those good bots from your reports. They will still be able to check your campaigns but you will not see those clicks in your statistics.



To enable this feature go to burger menu → Settings → General → enable the toggle Remove known (by user agent) bots/crawlers from data → Save changes:







 
Bad bots: blacklist



Bot blacklist feature works with a redirect tracking option only:



To add a bot rule to RedTrack, act as follows:



1. On the main RedTrack menu navigate to Tools→ Blacklist bots→ New:







 2. Fill in the needed fields→ Save:







Fields explained:1. Give your rule a name2. Add values to either IP addresses/IP ranges or User agent field(optional) 3. Give a small description note to your rule. This field is not mandatory.4. Press Save to apply the changes



Once enabled, traffic sent to your campaigns will be filtered based on the bot rules: bots will be excluded from the campaign report. Blocked traffic will not be counted towards your RedTrack events limit.



Ways of spotting a bot



There are 2 ways (methods) to spot a bot with RedTrack: via a Bot trap and Reports (IP or UA) :





This method does not require programming skills. You need to analyze your click logs and reports. Since in real conditions the same visitor cannot click on the same offer too many times, this method can be considered quite reliable.



This may take some time as this kind of report is taken directly from the backend and usually contains a lot of unique parameters.



1. Go to reports→ filter the data by either User agent or IP depending on the report:




If you want to analyze the data by UA (User agent) go to Campaigns→ choose the needed campaign and dive into report→ filter the data by User Agent:













If you want to analyze the data by IP go to Reports→ IP report:








2. The clicks are grouped by the set parameter. On the screen below you see that one IP has got a lot of clicks, which is pretty unusual, as, in real conditions, the live unique visitor will not click on the same campaign link that many times (it depends on your ad of course but in general they won't).&nbsp;Now you can identify bad IPs (IP ranges) and then block them:







You will need to block an IP range for the cases when the suspicious IP in your report ends with 0. That means this IP was hidden due to privacy policy. But the IP range can still be blocked. This will be something like: 69.208.0.0-69.208.0.255. The first ends with 0, the last one with 255. Take the IP from the report you want to block: 46.216.64.0. The range for this IP will be: 46.216.64.0-46.216.64.255





This method works best with landing page campaigns. In general, you will need to have access to the page code.



There are almost no traffic sources that are free of bot traffic. But it becomes a serious problem when the % of fake traffic reaches a high level, as a result, campaign optimization is very complicated. Bot trap is not a 100% reliable method of detection, some advanced bots can pass, but the majority have a very primitive structure.



Since RedTrack allows you to track multi-offer landing pages, you can add an offer for bots in your campaign, so the bot traffic can be filtered after.



To implement this method act as follows:



1. Create 2 offers: a blank offer for bots and your real offer for your product (or several offers).2. Create a Campaign.3. Put an “invisible” clickable link on your landing page.



The link:▸should contain https://your.domain.com/click/1 – it sends the bot click to offer 1 (the bot detection offer).▸can be 1×1 pixel image, the text of the same (or very similar) colour as the background.▸should be placed very low on the page.This link is not visible to real visitors, but almost every type of Bot can click on it. So whenever you see clicks to our offer 1, you know that visitors are not real, it's from bots.



4. Add other multi-offer links to your landing page. For example, in our case, it is https://your.domain.com/click/2 – it sends real visitors to offer 2 (a real offer).5. After that, you can check your campaign reports and see what IPs (or UAs) have clicked on the trap offer and block them.



Check out the article Tracking listicles (multi-offer landing page) for more information on the correct landing page setup.


",https://help.redtrack.io/knowledgebase/kb/basic-setup-9785/traffic-channel-9874/bot-blacklist/,docs
24,Cost/Ad spend: general,"
What's ad spend/campaign cost?



Campaign Cost (cost model) defines the cost of traffic you buy. CPM/CPC is good for most media-buying campaigns across Google, FB, etc. CPA/Revshare is good for affiliate/partner campaigns and CPA ad networks. 



With RedTrack, you have 2 ways of tracking the cost data:



1. Statically by adding the cost data to the tracking link or directly per campaign.



2. Dynamically: via the macro or with the help of the API for those traffic channels that support it.







This is the most obvious and simple way. You set the cost value per campaign in the campaign settings. Once the click/conversion comes, the cost is recorded automatically based on the cost model chosen:







Campaign cost models explaned:




CPC - the cost per each click.



CPA - the cost per conversion.



CPM / PopCPM - the cost for 1000 impressions, and it will not work for clicks.



RevShare - the % from each conversion revenue.



Do not track - no costs will be recorded.




Do Not Track cost model is designed for non-API integrated traffic channels. If you prefer not to receive ad spend data, switch off the ""Auto update costs"" toggle within your campaign settings:





You can set it up dynamically via the Macro or with the help of the API for those traffic channels that support it.



API



This type of integration is available for the integrated/automated traffic channels.



1. Check if your traffic channel is eligible for the API cost update.



2. Follow this guide to help you enable the Auto update cost feature. 



Auto-cost update feature will not work for CPM/CPA/Revshare campaigns.



Macro



If your traffic channel does not support the API cost update, you can try to do this with the help of the macro. This option works for the cases where the traffic channel you work with has the macro for the cost (bid, etc.).



Follow this guide for more info on the matter. 







Depending on your needs, you may set the customised campaign costs related to the additional values received for each clickid (subs, country, etc.). To do that within the added Campaign settings go to the tab Custom payouts → choose the needed payout type → add the values for your payouts → Save changes to the Custom payouts tab and the to the main campaign window:



CPA cost model custom payout sums should be represented by the fixed payout value.Revshare cost model custom payout sums should be represented by the percentage.The exception is the Hybrid cost model where:- if the cost model is CPA, the custom payout sum should be represented by the percentage- if the cost model is Revshare the custom payout sum should be represented by the fixed payout value.







Payout types explained:




GEO– set different payout based on click location.



GEO/OS&nbsp;– OS (without versions), Geo and payout amount separated by a comma with no spaces.



HYBRID&nbsp;– define conversion type to force change them to CPA (this could be helpful if you work with RevShare but want a CPA model for some conversion types).



CONVERSION SUBS&nbsp;– subid you receive with the conversion (sub1, sub2. etc.), sub value, and payout amount separated by a comma with no spaces.



TYPE/GEO/CONVSUB&nbsp;– conversion type, geo, subid you receive with the conversion, sub value, and payout amount separated by a comma with no spaces.



TYPE/CONVSUB – conversion type, subid you receive with the conversion and payout amount separated by a comma with no spaces. 




Conversion sub-parameters are the additional parameters you send with the conversion to enrich the data. They differ from click subs parameters string.



All other publisher-related options are to be used only in that case.


",https://help.redtrack.io/knowledgebase/kb/cost-tracking/cost-tracking/,docs
26,Payout/Revenue sync,"
Payout is the amount you get paid for the conversion.



With RedTrack you can track your conversions in 2 different ways: dynamically and statically. Act as per your choice:





This method offers you an effective and accurate method of tracking using a dynamic payout token or fixed value in your S2S postback URL or tracking pixel. If your affiliate network supports a dynamic payout token, it will send it back to RedTrack via your postback URL / pixel for each registered conversion via our supported&nbsp;{sum}&nbsp;parameter. 




Networks that have a preset template in RedTrack already have all the needed parameters added.





To add this parameter for the network from scratch go to Offer source → Postback parameters → place the payout tracking macro from your network into the SUM field:








The parameter will vary for each particular network, so please contact your Account manager for the correct one.



Here are some examples of postback URLs with dynamic tokens:▸ Everflow PB URL example: http://yourtrackingdomain?clickid={sub1}&amp;sum={payout_amount}▸ Affise PB URL example: http://rdtrck2.com/postback?clickid={sub1}&amp;sum={sum}▸ HasOffers PB URL example: http://rdtrck2.com/postback?clickid={aff_sub}&amp;sum={payout}▸ CAKE PB URL example: http://rdtrck2.com/postback?clickid=#s2#&amp;sum=#price#





This provides you with an alternative solution if dynamic payout macros aren’t supported by your affiliate network (or advertiser). You can record payout by using a fixed payout value in the offer settings. To set it up go to Offers → Main tab → set the payout value per each registered conversion in the Default conversion revenue field:






",https://help.redtrack.io/knowledgebase/kb/conversion-tracking/payout_tracking/,docs
28,Impressions,"
By impressions is meant the number of times your banner ad is viewed. When used with other tracking metrics, impressions give you a vital overview of your ad campaign performance: where you have more impressions and fewer click-throughs, or vice versa.



To use impression tracking, your traffic channel should support this option. Clarify it with your account manager.



Working with Impression URLs



1. Once you've created and saved the Campaign in RedTrack a Click URL (campaign link) and Impression URL are generated automatically. Copy both links and paste them to your traffic channel:











2. You will see the counted Impressions in a separate column of your Campaign report:









With RedTrack, in addition to impression tracking, you can now track visible impressions. While an ‘impression’ is&nbsp;counted every time a user&nbsp;loads a page with an impression pixel on it, a ‘Visible impression’ is counted even when a user had at least 50% of the ads on his screen for at least 1 second. It means now you have even more precise reports on how many ad impressions bring you clicks and conversions in the end.



Not all traffic channels support impression tracking, so check it first before activating impression tracking. RedTrack has integrated ad serving capabilities to ensure that visible impressions are actually visible. Please reach out to support@redtrack.io for details.



Visible impressions&nbsp; have a separate tracking URL and a separate column in reports:













This pixel can be placed on the page to track page impressions (page loads):






",https://help.redtrack.io/knowledgebase/kb/conversion-tracking/tracking-impressions/,docs
34,No redirect / redirectless tracking,"
What is no redirect tracking?



No redirect tracking method is the opposite of the redirect method. The principle of work comes from the name: there is no redirect from one link to another in the funnel. This tracking method is the only one accepted by such giants as Facebook, Google, and Bing. In simple words, it is when you use your landing page link or the direct link to your website for tracking, so the traffic goes directly to the target page without any additional redirects. The no redirect campaign is created&nbsp;the same way as the usual one, but you use your landing page/website URL instead of the campaign link.



In RedTrack, no redirect tracking can be implemented in 2 ways: via Universal tracking script + Tracking parameters (aka UTMs) or via No redirect script + Tracking parameters.



Universal tracking script vs no redirect script



ScenarioUniversal tracking scriptNo redirect scriptCan be used by affiliatesyesyesCan be used by advertisersyesyes (limited functionality)Can be used for e-comyesnoOrganic traffic trackingyes, separatelyyes, under the same campaignSeveral campaigns per LP/websiteyesnoSeveral traffic channels per LP/websiteyesno1st party cookieyesyesLP viewsyesyesLP clicksyesyesOnly offer campaignsyesno



To sum it up:




If you are an affiliate marketer working with a couple of traffic channels and use different landing pages in your funnels, the no redirect script will be an easy and smooth option to implement.



For advertisers and e-commerce shop owners, the universal tracking script is the best solution.




Important!Any RedTrack scripts must be added at the end of the body section. Otherwise, they might fail to trigger correctly.



How does it work?





This is a detailed guide on generating the universal tracking script and adjusting it according to your needs.





1. Create a Campaign and save it.



2. Tracking links and parameters → No-redirect → copy the script from your RedTrack campaign and add it to your landing page code (or website, depending on your flow):







3. To make the system work properly for the landing page click tracking, you will need to use the landing page click URL on the CTA button instead of the direct link to the offer. You can find it in the landing page edit window.











Make sure that both the script and offer click URL (your.domain.com/click) are present in the page source and have the same domain.



4. Copy the tracking parameters from your RedTrack campaign and add them to the appropriate field in the traffic channel (tracking template for Google, URL parameters for Facebook, etc.).







Some traffic channels have no separate tracking parameters field. In that case, add the parameters directly after the main URL (your landing page). Example: https://my.amazing.website.com?sub1={{ad.id}}&amp;sub2={{adset.id}}&amp;sub3={{campaign.id}}&amp;ad_name={{ad.name}}&amp;adset_name={{adset.name}}&amp;utm_source=mysource


",https://help.redtrack.io/knowledgebase/kb/conversion-tracking/no-redirect/,docs
46,Conversions: upload/update,"
If for some reason your conversions were not uploaded, RedTrack functionality allows you to upload them manually or update them as per your needs.





Before adding conversions know that:1. Once uploaded, conversions cannot be removed from your RedTrack statistics.2. Conversions in RedTrack can be uploaded via 2 options (see the steps below for details).



To upload conversions act as follows:



1. On the main RedTrack menu go to Logs → Conversions:







2. Decide on the option for the conversions upload and act on it:





Add conversions → in the pop-up window add the click ids for the missing conversions and the payouts → Save:









1. Upload → Download Template:







2. Open the downloaded .csv file → add the needed conversion click ids and the payout values for them:







3. Logs → Conversions → Upload → Upload Conversions → choose from your computer the .csv file with conversions you've created in step 2







Once the changes are saved, your conversion will appear in your conversion logs and reports.



Mind that when downloaded, the CSV file is automatically uploaded in the user's timezone, as conversions logs are always displayed in the user's timezone.Example: user’s account (GMT-4) - New York. We want to upload conversions and see their time in the logs 14:00:00. We put them in the file as 18:00:00. If the account is GMT+4, we want to see 14:00:00 in the logs, we put 10:00:00 in the file.



Make sure there are no duplicated clickids for the cases where you don't need to see duplicates in your reports. Use the most suitable option in the Duplicate postback mode section of your Offer source/Brand (Offer sources/Brands → choose the needed one among the added → scroll down to the Default duplicate postback mode section):For more info &amp; explanation on the postback modes go to this guide (How to set up conversion statuses→How to process duplicates). 







Payout



If you need to update the conversion data, it can be done the same way as a regular upload described above. The only thing you should keep in mind is that you will have to change the Duplicate postback mode in your offer source for RedTrack to update the data. To do that go to Offer sources → choose the needed one → scroll down to the Default duplicate postback mode section → select the needed mode:







Do not use Create a new conversion in this case, as it  will create a new conversion without editing the initial one.Here you can find more info on the duplicate postback modes. 



Status



To update the conversion status go to Logs → Conversions → Update status → add the click id of the conversion you need to update and choose the target status → Save:






",https://help.redtrack.io/knowledgebase/kb/conversion-tracking/conversion-upload/,docs
50,Protecting your postbacks,"
RedTrack developed 2 special features: Postback protection and Whitelist IPs that allow protecting your link from fraudulent conversions in your CPA campaigns.



To set them up follow the steps below:



Postback protection



1. Add your offer source (either from the template or a custom one).



2. In your Offer source setting enable the Postback protection toggle: 







3. Once you've enabled it, you will see the unique ptoken value is added to the Postback URL template → copy the ptoken value → save changes to the template:







4. In order to work properly, the protected postback URL with the unique ptoken should be obligatorily inserted to the offer source (affiliate network, advertiser) postback settings.



If this feature is enabled, each conversion will be checked against the uniqueness of ""ptoken"", in case it does not match, a conversion will be ignored by RedTrack.



Whitelist IP



Whitelist IP feature allows to record only certain conversions that came from a certain IP or IP range. To set it up:



1. Add your offer source (either from the template or a custom one).



2. Scroll down the template → enable the Whitelist IP toggle → paste the needed IP address → save changes to the template:







Once it's enabled, conversions with different IPs (IP ranges) will be ignored by RedTrack.
",https://help.redtrack.io/knowledgebase/kb/basic-setup-9785/offer-sources-brand-related-settings-9830/postback-protection/,docs
52,"Conversion tracking: types, statuses, duplicates","
In RedTrack conversion events tracking can be set up via types or statuses. Each way has its peculiarities:  



TypeStatus- allows custom naming- has extended analytics- works with API integrations- extended Clickbank, Google and Tiktok mapping supported- needs additional setup in the interface- no custom naming- limited analytics- is not suitable for API integrations and conversion mapping- works without any additional setup- works for COD offers



Conversion statuses do not work for the traffic channels with the API integrations (Facebook, Google, Bing). For such cases use conversion types event tracking method instead.



General advice is to use types as they work the same way and allow more customization.



Act depending on the preferred event tracking way:





How to set up



1. Tools → Conversion tracking → Conversion type → add the events you want to track → Save:











The fields are case-sensitive. The name should be exactly what you plan to send to RedTrack.The names remain the same and will be sent to the traffic channel exactly as you've added them to RedTrack.



2. For the added event to be tracked you need to add type=Conversion_Event_Name to the Postback URL. For example: https://my.postback.com/postback?clickid={sub}&amp;type=Upsell. 



The way to track the added events may differ depending on your flow, but the main principle is appending the desired type parameter to the postback. If your flow differs turn to the specific guide on KB or email to support@redtrack.io for assistance. 



How the tracked conversions are shown in RedTrack



Data on conversions recorded in RedTrack can be viewed in the reports: 





If you want the assigned events to be counted and shown in the Customer Journey report, you have to enable the report next to the event:







To choose more than 2 conversion types to be depicted in the Customer Journey report, you need to upgrade your subscription plan. Refer to the Customer Journey report guide for details. 





You can check the data on the added conversion events as follows:




In&nbsp;reports,&nbsp;once you’ve added the columns with the names of your conversion events:













In logs by conversions, you can check out the data on the duplicate status of the conversion event with the assigned duplicate postback mode Create new conversion: new or repeated:








New for the first conversion.Repeated for the repeated (duplicated) conversions.Unknown for conversions with this postback mode not configured.







How to set up



Conversion statuses are used in cases where using simple naming is enough for you. They are added within the Offer source/Brand template in RT, we have 4 types of Statuses:




other



approved



pending



declined




All of the statuses are available as separate columns with separate statistics. The main difference between types is that you cannot change the status naming, it is only like that.We recommend using the approved status as the default to avoid editing the Postback URL and simplifying the process.



1. When adding the offer source/brand,&nbsp;choose the Approved status under the section Conversion status → Save:







If we do not receive any status data with the conversion, by default, we record all conversions with the status you have set in the offer source/brand settings, which can easily be changed.



2. Once you’ve saved the changes, copy the generated postback URL and paste it to your affiliate network account under the target postback field (or use it wherever you plan to):







Change the status manually per postback if you need to send another one. Use lowercase. 



How the tracked conversions with statuses are shown in RedTrack



Conversions with the assigned statuses can be tracked in the offer source report, once you add the column with the status name to the report table:













RedTrack offers a handy Duplicate postback mode functionality that manages how the platform processes multiple postback requests for the same conversion event. You can assign a dedicated duplicate postback mode to the chosen event type/ status and the system will act accordingly (create a new conversion, ignore the postback, edit conversion with new data, etc.). 



Duplicate postback modes can be applied to both types and statuses, but you should know that the duplicate postback mode set in conversion types prevails over the one set via statuses in your offer source/brand template. 



Act as per your way of setting up the conversion tracking (types or statuses):





To apply a certain duplicate mode select it from the dropdown menu on the right next to the needed event type → Save:







Duplicate postback modes explained:



With API-integrated traffic channels when you apply duplicate postback modes, the conversion is also updated API-based.  How it works: chosen duplicate postback mode is applied → conversion is updated in RedTrack → the updated conversion is sent to the traffic channel where the system recognizes this conversion by its clickid and edits this very conversion without creating any duplicates.




Create new conversion:&nbsp;duplicate postback data will be added as a separate conversion.



Create new conversion: new or repeated: means duplicated postback data will be added as a separate conversion with different statuses.– New for the first conversion.– Repeated for the repeated (duplicated) conversions.– Unknown for conversions in which this postback mode is not configured.





Ignore duplicate postbacks:&nbsp;no data on the duplicate will be added.



Edit conversion with new data:&nbsp;the original conversion&nbsp;will be edited with new data.




When you apply the “Edit conversion with new data” mode, only payout can be updated, time of the conversion can’t be changed.



ExampleYou have a lead conversion that can transform into either a purchase or rejection later. You want to receive first the Lead, and send the data about this to the traffic channel, then you want the Lead to be changed to Purchase, also with sending the data to the traffic channel. In that case, edit conversion with the new data is the postback mode you need.




Keep original data, Increment payout: only revenue will be edited.




Use this mode for tracking upsells for example.




Ignore duplicate postbacks by event id: to make this mode work, first, you need to send RedTrack the unique id for the system to be able to compare the data. For example, adding rdtk_event_id={replace} to the postback URL. It can be an order id/transaction id or something of this matter by which RedTrack will implement the deduplication. Once this mode is applied, no data by the mentioned event id will be added to the tracking report.






To set it up go to the added Offer source /Brand template → scroll down to the&nbsp;Default duplicate postback mode&nbsp;section → choose the needed mode → Save the changes to the template:







Default duplicate postback modes explained:




Create new conversion: duplicate postback data will be added as a separate conversion.



Create new conversion: new or repeated: duplicated postback data will be added as a separate conversion with different statuses.– New for the first conversion.– Repeated for the repeated (duplicated) conversions.– Unknown for conversions in which this postback mode is not configured.





Ignore duplicate postbacks: no data will be added to the tracking report.



Edit conversion with new data: the original conversion will be edited with the new data.




When you apply the “Edit conversion with new data” mode, only payout can be updated, time of the conversion can’t be changed.



ExampleYou have a lead conversion that can transform into either a purchase or rejection later. You want to receive first the Lead, and send the data about this to the traffic channel, then you want the Lead to be changed to Purchase, also with sending the data to the traffic channel. In that case, edit conversion with the new data is the postback mode you need.




Keep original data, Increment payout:&nbsp;only revenue will be edited.




Use this mode for tracking upsells for example.




",https://help.redtrack.io/knowledgebase/kb/conversion-tracking/tracking-event-types/,docs
54,"Conversion tracking: S2S, script, API","


RedTrack offers you the following methods of conversion tracking:




API



S2S



Pixel/script




API



API conversion tracking method is based on the integration of the RedTrack API with the platform storing your conversion data (affiliate network, CRM, shop, website, etc.). This is the most reliable conversion tracking method because it happens on the backend of both platforms.&nbsp;When a conversion occurs, this platform pings RedTrack with all the necessary information. However, since this method requires a lot more development work on both sides, it is not very common in affiliate marketing, and not all the systems support it.



API method in a nutshell:




It's the most reliable method of passing the conversion. It does not need cookies to work.



It's a “set it and forget it” method. Once you complete the integration, you won't need to configure anything.&nbsp;Conversions will be shared along with additional information such as payout.



It can be challenging to implement.




These are the platforms RedTrack has the API integration with:




CJ Affiliate



ClickBank



WooCommerce



Shopify




S2S



Server-to-server (S2S) postback is a very accurate method of receiving and sending conversion data. S2S tracking saves the information about the user ID directly to the server of all the systems involved in the flow. When a user clicks on an ad, this click is recorded and gets a newly generated unique ID for this session. If a user buys or orders something, RedTrack receives a message from another system about the conversion that happened. This is a standard option available for everyone. No additional settings are required.




It provides slightly accurate tracking and accurate statistics. This tracking method does not rely on cookies.&nbsp;Therefore, it works even if the visitor has blocked the collection of cookie data in their web browser.&nbsp;That is why it is considered one of the most reliable tracking methods.



Postback tracking must be supported by your affiliate network/shop/CRM.




Check out our video review on S2S postbacks.





S2S tracking is the most common for Affiliate Networks. Depending on the network you work with, the process of integrating it with RedTrack differs:





1. Add the Offer source template to RedTrack → Save it:











2. Copy the Postback URL from the settings:







3. Paste the copied Postback URL to your affiliate network account under the postback settings





1. Offer sources → new from scratch:







2. Give your custom Offer source a name, and clarify the correct CLICKID and SUM macros essential for tracking. Once you've added them, press Save:







3. Copy the generated Postback URL:







4. Paste it to your affiliate network/advertiser account under the postback settings



With S2S postback you can use conversion types. They are set in your RedTrack account: Tools → Conversion tracking → Conversion types. After you set the names, simply add &amp;type=conversion event name to the end of your postback URL.







The following CRM systems are possible to integrate with RedTrack via the S2S postbacks:




Typeform



Konnektive






Pixel/postback script



Conversion tracking using pixel/postback script is the simplest and least accurate method. You place a piece of code on your ""Thank you"" page and each time the visitor opens this page, the conversion is fired with the help of the script. That means the same visitor can refresh the page and the pixel will then be fired once again so you may receive a duplicate.



Pros:




You can use it if the S2S option is not available.



It’s the ultimate solution when you don’t have many technical resources and have your own “thank you page”.



Pixel/postback script is simple and fast to implement and use, so there is no need to be a technical expert. You copy the pixel from the tracker and paste it into the code of the last page that the user sees after the conversion has occurred.




Cons:




Sometimes pixels may not work.&nbsp;One reason for this could be the user clearing the cache between clicking a link on the landing page and the actual conversion.&nbsp;In this case, the conversion will simply not be tracked



Apple has implemented Smart Tracking Protection 2.0 in Safari, preventing websites from tracking user activity without permission. Currently, the website can request tracking permission, but the user must specifically register. Even if the user consents to be tracked by Safari on their own, after 30 days all data and cookies will be permanently deleted. In general, pixel tracking is a fairly complex process when working with Safari



Google has announced that its Chrome web browser will no longer support third-party cookies from 2022, which will, of course cause pixel tracking issues and make a simple pixel/script a solution only for the redirect tracking










Important!The script has to be added at the end of the body section. Otherwise, it might fail to trigger correctly.





1. Tools → Conversion Tracking → stay on the tab Conversion Tracking:







2.&nbsp;RedTrack generates a unique pixel with your dedicated tracking domain but you can change it to a custom tracking domain. To change the domain press on the Domain field in the Conversion postback domain section and choose the needed domain from the dropdown list of the added ones:



It does not matter what domain you will be using in your postback as the visitor will not see it and it is required only for server-side tracking. So you can leave the dedicated tracking domain there.







3. Activate the toggle Show pixel for statuses (Pending, Approved, Declined, Other) to use statuses to track changes in the conversion status in COD and similar scenarios:







4. Copy any of the available options: Pixel postback code for conversion (in the Conversion tracking pixel section) or Postback script (preferred option in the Postback script section):







The ""type"" parameter is to be added manually. Type should equal the one you have set in your conversion type settings. For example:&lt;img src=""//domain.rdtk.io/postback?format=img&amp;sum={replace}&amp;type=Purchase"" width=""1"" height=""1"" />



5. Paste the copied ready-to-use pixel to your Thank You page to track visitors' activity.





1. Use the Universal Tracking Script to capture the click data.



It captures the tracking parameters, sends them back to RedTrack, generates the clickid and saves it in the first-party cookie rtkclickid-store



2. Adjust the script below.



It reads the first-party cookie value and adds it to the postback URL. Modify the&nbsp;postback URL → replace https://custom.tracking.domain with your custom tracking domain:



// Function to read a cookie by its name
function getCookie(cookieName) {
  var name = cookieName + ""="";
  var decodedCookie = decodeURIComponent(document.cookie);
  var cookieArray = decodedCookie.split(';');

  for (var i = 0; i &lt; cookieArray.length; i++) {
    var cookie = cookieArray&#91;i];
    while (cookie.charAt(0) == ' ') {
      cookie = cookie.substring(1);
    }
    if (cookie.indexOf(name) == 0) {
      return cookie.substring(name.length, cookie.length);
    }
  }
  return """";
}

// Get the value of the ""rtkclickid-store"" cookie
var rtCookieValue = getCookie(""rtkclickid-store"");

// Construct the URL with the cookie value appended
var baseUrl = ""https://custom.tracking.domain/postback""; // Replace with your actual URL
var urlWithCookie = baseUrl + ""?clickid="" + encodeURIComponent(rtCookieValue);

// Make a request to the URL
fetch(urlWithCookie)
  .then(response =&gt; {
    if (response.ok) {
      // Handle the response if needed
      return response.text();
    } else {
      throw new Error(""Request failed with status: "" + response.status);
    }
  })
  .then(data =&gt; {
    // Process the response data here
    console.log(""Response data: "" + data);
  })
  .catch(error =&gt; {
    // Handle any errors that occurred during the fetch
    console.error(""Fetch error: "" + error);
  });



The getCookie function reads the value of the ""rtkclickid-store” cookie. Then the cookie value is appended to the base postback URL to create the final URL with the query parameter clickid. The fetch API is used to make a GET request to the URL, so you can handle the response and any errors as needed.





Conversions in reports



Campaigns table → table settings → choose all the custom conversion types you are using→ save the columns:







For more information, go to Reports.
",https://help.redtrack.io/knowledgebase/kb/conversion-tracking/postback-offer-source/,docs
105,Custom domain for tracking,"
Why do you need a custom tracking domain?



Custom tracking domain&nbsp;is essential for tracking. Such giants as Google, Facebook, or Bing do not accept default tracking domains, thus, using a custom tracking domain prevents your campaigns from being blocked.



Another good reason is to replace the default dedicated tracking RedTrack domain with something that belongs to you only. 



Using custom tracking domain helps you to:




control your traffic better;



protect you from being blocked by the traffic channel;



have more control over the cases when your custom domain is compromised so you can easily update it to the new one.




The difference between a custom tracking domain (you should add) and a dedicated domain (RT gives you by default) is explained here.



How to add a custom tracking domain to RedTrack





To add the custom tracking domain, you will need to have a purchased domain. It can be obtained from anywhere. Examples of the most commonly used domain registrars are Godaddy, Namecheap, Cloudflare, etc.



You don't need a separate custom tracking domain for each website/online store/client. It's enough to use one custom tracking domain for all the websites you integrate with RedTrack or use many for each.





1. Add a CNAME record in your registrar. Settings will depend on the system you are using. Below are the most commonly used:





1.&nbsp;Go to&nbsp;Manage&nbsp;DNS → Add:







2.&nbsp;Fill in the fields → Add record:







Fields explained:✎Type: CNAME✎Name: it can be anything you like. This is the word that will be placed at the beginning of your domain (e.g: mytracking.domain.com)✎Value: your RedTrack dedicated tracking domain here (Tools → Domains → New ):✎TTL: the lowest possible





1.&nbsp; Select the domain where you want to add the CNAME record → DNS&nbsp;→ Add record:







2. Fill in the details:







Fields explained:✎Type: CNAME✎Name: it can be anything you like. This is the word that will be placed at the beginning of your domain (e.g: mytracking.domain.com);✎Target: your RedTrack dedicated tracking domain✎Proxy status: DNS only✎TTL: the lowest possible



 When managing your DNS with Cloudflare, make sure to use the ""DNS only"" Proxy status instead of ""Proxied"":If ""Proxied"" is on, that means the traffic will not go to RedTrack directly but first to the Cloudflare servers. In that case, RedTrack is not responsible for the domain's proper work. Click here to learn more about DNS records management in Cloudflare.





1. &nbsp;Domain List → &nbsp;Manage:







2. Advanced DNS&nbsp;→&nbsp;Add new record:







Fill in the needed details:







Fields explained:✎Type: CNAME✎Name: it can be anything you like. This is the word that will be placed at the beginning of your domain (e.g: mytracking.domain.com)✎Value: your RedTrack dedicated tracking domain here (Tools → Domains → New ):✎TTL: the lowest possibleClick here for more info about DNS management via Namecheap.





Follow the&nbsp;dedicated Shopify guide.





The domain will be updated and ready to use once the data replication is completed. In general, it takes about an hour, but in the case of some registrars, it can take up to 24 hours.



▸ Make sure there isn't an already created CNAME record for the same host, as it will lead to a conflict.▸ Do not remove the CNAME record from your DNS settings as long as you are using it, as without it, your custom tracking domain won’t work properly.



2. Once the CNAME record is added, add the custom tracking domain to RedTrack. 



Tools →&nbsp;Domains →&nbsp;New:







Fill in the fields:








(1) URL: sub-domain you have just added to your registrar (example: mytracking.domain.com)




In the example ilona.redtrackfan.club:- ilona is the name you put in your domain registrar in the field “Name”.- redtrackfan.club is the domain you have purchased and for which you added the CNAME.




(2) Root domain: here, you can put the URL visitors will be redirected to in case of a direct entry to the domain URL, or you can leave it blank. 




In case you still decide to put the root domain there, remember to type in https:// in front of it.




(3) Install the SSL: turn on the toggle to enable the free SSL certificate.




RedTrack provides free SSL certificates for all paid clients, where everything can now be done in one click. We are extra cautious about our service, so RedTrack generates certificates using open-source Let’s Encrypt technology, which claims to be free, automated, and open certificate authority (CA) run for the public’s benefit (it is a service provided by the Internet Security Research Group (ISRG)).



Check out our video tutorial on how to add your custom tracking domain.


",https://help.redtrack.io/knowledgebase/kb/conversion-tracking/adding-custom-domain/,docs
